Treatment,Replicate,Days_Post_Fertilization,Outcome
6PPDQ,6,55,1
6PPDQ,6,55,1
6PPDQ,6,55,1
6PPDQ,6,55,1
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
6PPDQ,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
Control,6,56,0
